date,location,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,death_rate
2020-01-30,India,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-31,India,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,India,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,India,2.0,1.0,0.0,0.0,0.0,0.0
2020-02-03,India,3.0,1.0,0.0,0.0,0.0,0.0
2020-02-04,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,India,3.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,India,5.0,2.0,0.0,0.0,0.0,0.0
2020-03-03,India,5.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,India,28.0,23.0,0.0,0.0,0.0,0.0
2020-03-05,India,30.0,2.0,0.0,0.0,0.0,0.0
2020-03-06,India,31.0,1.0,0.0,0.0,0.0,0.0
2020-03-07,India,34.0,3.0,0.0,0.0,0.0,0.0
2020-03-08,India,39.0,5.0,0.0,0.0,0.0,0.0
2020-03-09,India,43.0,4.0,0.0,0.0,0.0,0.0
2020-03-10,India,56.0,13.0,0.0,0.0,0.0,0.0
2020-03-11,India,62.0,6.0,1.0,1.0,0.0,0.016129032258064516
2020-03-12,India,73.0,11.0,1.0,0.0,0.0,0.0136986301369863
2020-03-13,India,82.0,9.0,2.0,1.0,0.0,0.024390243902439025
2020-03-14,India,102.0,20.0,2.0,0.0,0.0,0.0196078431372549
2020-03-15,India,113.0,11.0,2.0,0.0,0.0,0.017699115044247787
2020-03-16,India,119.0,6.0,2.0,0.0,0.0,0.01680672268907563
2020-03-17,India,142.0,23.0,3.0,1.0,0.0,0.02112676056338028
2020-03-18,India,156.0,14.0,3.0,0.0,0.0,0.019230769230769232
2020-03-19,India,194.0,38.0,4.0,1.0,0.0,0.020618556701030927
2020-03-20,India,244.0,50.0,5.0,1.0,0.0,0.020491803278688523
2020-03-21,India,330.0,86.0,4.0,-1.0,0.0,0.012121212121212121
2020-03-22,India,396.0,66.0,7.0,3.0,0.0,0.017676767676767676
2020-03-23,India,499.0,103.0,10.0,3.0,0.0,0.02004008016032064
2020-03-24,India,536.0,37.0,10.0,0.0,0.0,0.018656716417910446
2020-03-25,India,657.0,121.0,12.0,2.0,0.0,0.0182648401826484
2020-03-26,India,727.0,70.0,20.0,8.0,0.0,0.027510316368638238
2020-03-27,India,887.0,160.0,20.0,0.0,0.0,0.02254791431792559
2020-03-28,India,987.0,100.0,24.0,4.0,0.0,0.0243161094224924
2020-03-29,India,1024.0,37.0,27.0,3.0,0.0,0.0263671875
2020-03-30,India,1251.0,227.0,32.0,5.0,0.0,0.025579536370903277
2020-03-31,India,1397.0,146.0,35.0,3.0,0.0,0.025053686471009307
2020-04-01,India,1998.0,601.0,58.0,23.0,0.0,0.02902902902902903
2020-04-02,India,2543.0,545.0,72.0,14.0,0.0,0.028313016122689737
2020-04-03,India,2567.0,24.0,72.0,0.0,0.0,0.028048305414881184
2020-04-04,India,3082.0,515.0,86.0,14.0,0.0,0.027903958468526932
2020-04-05,India,3588.0,506.0,99.0,13.0,0.0,0.027591973244147156
2020-04-06,India,4778.0,1190.0,136.0,37.0,0.0,0.028463792381749686
2020-04-07,India,5311.0,533.0,150.0,14.0,0.0,0.02824326868762945
2020-04-08,India,5916.0,605.0,178.0,28.0,0.0,0.03008789722785666
2020-04-09,India,6725.0,809.0,226.0,48.0,0.0,0.03360594795539033
2020-04-10,India,7598.0,873.0,246.0,20.0,0.0,0.032376941300342195
2020-04-11,India,8446.0,848.0,288.0,42.0,0.0,0.03409898176651669
2020-04-12,India,9205.0,759.0,331.0,43.0,0.0,0.03595871808799565
2020-04-13,India,10453.0,1248.0,358.0,27.0,0.0,0.03424854108868267
2020-04-14,India,11487.0,1034.0,393.0,35.0,0.0,0.03421258814311831
2020-04-15,India,12322.0,835.0,405.0,12.0,0.0,0.0328680409024509
2020-04-16,India,13430.0,1108.0,448.0,43.0,0.0,0.033358153387937454
2020-04-17,India,14352.0,922.0,486.0,38.0,0.0,0.0338628762541806
2020-04-18,India,15722.0,1370.0,521.0,35.0,0.0,0.03313827757282788
2020-04-19,India,17615.0,1893.0,559.0,38.0,0.0,0.03173431734317343
2020-04-20,India,18539.0,924.0,592.0,33.0,0.0,0.031932682453206754
2020-04-21,India,20080.0,1541.0,645.0,53.0,0.0,0.03212151394422311
2020-04-22,India,21370.0,1290.0,681.0,36.0,0.0,0.031867103416003746
2020-04-23,India,23077.0,1707.0,721.0,40.0,0.0,0.031243229189236037
2020-04-24,India,24530.0,1453.0,780.0,59.0,0.0,0.031797798613942115
2020-04-25,India,26283.0,1753.0,825.0,45.0,0.0,0.03138911083209679
2020-04-26,India,27890.0,1607.0,881.0,56.0,0.0,0.03158838293295088
2020-04-27,India,29451.0,1561.0,939.0,58.0,0.0,0.03188346745441581
2020-04-28,India,31324.0,1873.0,1008.0,69.0,0.0,0.03217979823777296
2020-04-29,India,33062.0,1738.0,1079.0,71.0,0.0,0.03263565422539471
2020-04-30,India,34863.0,1801.0,1154.0,75.0,0.0,0.03310099532455612
2020-05-01,India,37257.0,2394.0,1223.0,69.0,0.0,0.03282604611214
2020-05-02,India,39699.0,2442.0,1323.0,100.0,0.0,0.033325776467921106
2020-05-03,India,42505.0,2806.0,1391.0,68.0,0.0,0.032725561698623694
2020-05-04,India,46437.0,3932.0,1566.0,175.0,0.0,0.033723108727954004
2020-05-05,India,49400.0,2963.0,1693.0,127.0,0.0,0.03427125506072874
2020-05-06,India,52987.0,3587.0,1785.0,92.0,0.0,0.03368750825674222
2020-05-07,India,56351.0,3364.0,1889.0,104.0,0.0,0.0335220315522351
2020-05-08,India,59695.0,3344.0,1985.0,96.0,0.0,0.03325236619482369
